CustomerID,PaymentDate,Subtotal,ShippingFee
2,1/15/2021,$432.99 ,$40.99 
3,1/15/2021,$92.99 ,$32.99 
4,1/15/2021,$177.99 ,$36.99 
5,1/15/2021,$252.99 ,$40.99 
6,1/15/2021,$252.99 ,$40.99 
7,1/15/2021,$252.99 ,$40.99 
8,1/15/2021,$172.99 ,$32.99 
9,1/15/2021,$353.99 ,$48.99 
10,1/15/2021,$313.99 ,$44.99 
12,1/15/2021,$252.99 ,$40.99 
13,1/15/2021,$177.99 ,$36.99 
14,1/15/2021,$301.99 ,$36.99 
15,1/15/2021,$252.99 ,$40.99 
16,1/15/2021,$252.99 ,$40.99 
18,1/15/2021,$301.99 ,$36.99 
19,1/15/2021,$177.99 ,$36.99 
20,1/15/2021,$313.99 ,$44.99 
21,1/15/2021,$172.99 ,$32.99 
22,1/15/2021,$432.99 ,$40.99 
23,1/15/2021,$313.99 ,$44.99 
24,1/15/2021,$252.99 ,$40.99 
25,1/15/2021,$92.99 ,$32.99 
26,1/15/2021,$301.99 ,$36.99 
27,1/15/2021,$313.99 ,$44.99 
28,1/15/2021,$177.99 ,$36.99 
29,1/15/2021,$313.99 ,$44.99 
30,1/15/2021,$301.99 ,$36.99 
31,1/15/2021,$432.99 ,$40.99 
32,1/15/2021,$432.99 ,$40.99 
33,1/15/2021,$172.99 ,$32.99 
34,1/15/2021,$172.99 ,$32.99 
35,1/15/2021,$537.99 ,$44.99 
36,1/15/2021,$301.99 ,$36.99 
37,1/15/2021,$301.99 ,$36.99 
39,1/15/2021,$432.99 ,$40.99 
40,1/15/2021,$252.99 ,$40.99 
41,1/15/2021,$92.99 ,$32.99 
42,1/15/2021,$177.99 ,$36.99 
43,1/15/2021,$177.99 ,$36.99 
44,1/15/2021,$177.99 ,$36.99 
45,1/15/2021,$92.99 ,$32.99 
46,1/15/2021,$353.99 ,$48.99 
47,1/15/2021,$432.99 ,$40.99 
48,1/15/2021,$92.99 ,$32.99 
49,1/15/2021,$172.99 ,$32.99 
50,1/15/2021,$432.99 ,$40.99 
51,1/15/2021,$177.99 ,$36.99 
52,1/15/2021,$301.99 ,$36.99 
55,1/15/2021,$252.99 ,$40.99 
56,1/15/2021,$353.99 ,$48.99 
57,1/15/2021,$92.99 ,$32.99 
58,1/15/2021,$172.99 ,$32.99 
59,1/15/2021,$353.99 ,$48.99 
60,1/15/2021,$432.99 ,$40.99 
61,1/15/2021,$172.99 ,$32.99 
62,1/15/2021,$301.99 ,$36.99 
63,1/15/2021,$252.99 ,$40.99 
64,1/15/2021,$252.99 ,$40.99 
65,1/15/2021,$172.99 ,$32.99 
