ID,CustomerID,MealKitID,ReviewDate,Review
1,1,15,1/3/2020,5
2,2,26,1/3/2020,5
3,2,3,1/5/2020,3
4,6,7,1/5/2020,5
5,6,15,1/5/2020,5
6,2,9,1/5/2020,5
7,6,23,1/5/2020,5
8,6,18,1/5/2020,5
9,6,24,1/5/2020,2
10,6,17,1/6/2020,2
11,6,5,1/6/2020,5
12,6,27,1/6/2020,5
13,2,2,1/6/2020,4
14,6,29,1/6/2020,5
15,6,16,1/6/2020,5
16,6,3,1/7/2020,5
17,6,8,1/7/2020,4
18,1,5,1/7/2020,3
19,1,10,1/7/2020,2
20,6,9,1/7/2020,3
21,6,10,1/7/2020,5
22,6,11,1/7/2020,1
23,6,23,1/7/2020,5
24,6,9,1/7/2020,5
25,6,26,1/8/2020,5
26,6,18,1/8/2020,4
27,6,7,1/8/2020,4
28,6,8,1/8/2020,5
29,6,26,1/8/2020,5
30,6,6,1/8/2020,5
31,6,23,1/8/2020,5
32,2,27,1/9/2020,5
33,11,2,1/9/2020,5
34,11,3,1/9/2020,5
35,2,22,1/10/2020,5
36,15,20,1/11/2020,2
37,15,5,1/11/2020,5
38,15,1,1/11/2020,5
39,15,15,1/11/2020,3
40,2,28,1/13/2020,5
41,15,21,1/13/2020,5
42,15,18,1/13/2020,5
43,3,14,1/13/2020,5
44,15,25,1/13/2020,5
45,15,12,1/13/2020,4
46,15,2,1/13/2020,5
47,15,13,1/13/2020,5
48,1,30,1/13/2020,2
49,12,20,1/14/2020,5
50,1,3,1/15/2020,2
51,1,17,1/16/2020,5
52,20,27,1/16/2020,5
53,20,19,1/17/2020,5
54,20,28,1/17/2020,2
55,12,5,1/17/2020,5
56,17,19,1/18/2020,4
57,2,30,1/18/2020,5
58,2,1,1/18/2020,2
59,2,26,1/18/2020,5
60,2,6,1/18/2020,5
61,2,28,1/19/2020,5
62,20,16,1/19/2020,5
63,1,6,1/19/2020,5
64,2,21,1/20/2020,5
65,2,4,1/21/2020,5
66,2,11,1/21/2020,5
67,2,3,1/22/2020,5
68,1,6,1/22/2020,2
69,5,24,1/23/2020,5
70,18,9,1/23/2020,5
71,12,18,1/24/2020,5
72,20,29,1/24/2020,5
73,2,8,1/25/2020,5
74,2,8,1/25/2020,5
75,2,18,1/26/2020,5
76,20,6,1/27/2020,2
77,2,2,1/28/2020,5
78,1,24,1/29/2020,4
79,2,8,1/30/2020,5
80,29,9,1/30/2020,2
81,1,14,1/30/2020,5
82,3,2,1/30/2020,3
83,25,15,1/30/2020,5
84,25,11,2/1/2020,5
85,1,3,2/1/2020,5
86,11,8,2/3/2020,5
87,1,28,2/3/2020,5
88,11,12,2/4/2020,5
89,1,8,2/5/2020,2
90,32,16,2/5/2020,3
91,17,7,2/6/2020,5
92,29,1,2/6/2020,5
93,12,22,2/7/2020,3
94,20,8,2/7/2020,5
95,18,17,2/7/2020,5
96,3,28,2/7/2020,4
97,34,21,2/9/2020,2
98,38,6,2/9/2020,5
99,32,20,2/9/2020,3
100,38,9,2/10/2020,5
101,16,23,2/10/2020,4
102,38,30,2/10/2020,5
103,40,28,2/10/2020,5
104,40,14,2/11/2020,5
105,38,29,2/11/2020,5
106,45,11,2/12/2020,5
107,1,12,2/12/2020,5
108,40,4,2/12/2020,5
109,11,5,2/12/2020,2
110,36,17,2/12/2020,5
111,34,19,2/13/2020,4
112,17,26,2/13/2020,5
113,38,11,2/13/2020,2
114,20,22,2/13/2020,5
115,1,12,2/13/2020,4
116,40,30,2/13/2020,5
117,40,5,2/14/2020,5
118,47,19,2/14/2020,5
119,8,5,2/14/2020,2
120,20,9,2/14/2020,4
121,35,3,2/14/2020,5
122,38,1,2/15/2020,5
123,38,22,2/16/2020,5
124,45,6,2/16/2020,5
125,38,24,2/16/2020,5
126,25,27,2/17/2020,5
127,1,21,2/17/2020,3
128,34,11,2/17/2020,5
129,20,30,2/17/2020,5
130,40,30,2/17/2020,5
131,40,27,2/18/2020,2
132,36,11,2/18/2020,4
133,50,28,2/18/2020,5
134,38,28,2/18/2020,5
135,39,30,2/18/2020,5
136,32,25,2/19/2020,5
137,34,1,2/19/2020,5
138,45,13,2/20/2020,5
139,38,10,2/20/2020,5
140,36,20,2/21/2020,5
141,41,28,2/21/2020,5
142,46,25,2/21/2020,5
143,26,28,2/21/2020,5
144,1,27,2/21/2020,5
145,40,12,2/22/2020,5
146,34,30,2/22/2020,2
147,38,7,2/22/2020,5
148,45,1,2/22/2020,3
149,1,15,2/23/2020,5
150,20,17,2/23/2020,2
151,1,4,2/23/2020,5
152,40,14,2/23/2020,5
153,34,5,2/23/2020,5
154,28,28,2/23/2020,3
155,38,4,2/24/2020,4
156,3,23,2/24/2020,5
157,40,17,2/24/2020,5
158,45,8,2/24/2020,2
159,38,29,2/24/2020,5
160,1,14,2/25/2020,5
161,54,8,2/25/2020,2
162,1,19,2/25/2020,5
163,18,14,2/25/2020,4
164,40,10,2/25/2020,5
165,48,7,2/26/2020,5
166,34,28,2/26/2020,5
167,52,28,2/26/2020,5
168,34,19,2/26/2020,2
169,40,11,2/26/2020,3
170,45,2,2/26/2020,5
171,46,13,2/26/2020,5
172,23,21,2/26/2020,5
173,34,24,2/26/2020,5
174,61,20,2/27/2020,5
175,1,18,2/27/2020,5
176,40,11,2/27/2020,5
177,34,23,2/28/2020,5
178,33,23,2/28/2020,3
179,51,8,2/28/2020,4
180,40,15,2/28/2020,3
181,32,4,2/28/2020,5
182,57,7,2/28/2020,5
183,20,13,2/29/2020,5
184,40,22,2/29/2020,5
185,20,9,3/1/2020,5
186,45,12,3/1/2020,5
187,46,3,3/1/2020,5
188,40,2,3/1/2020,5
189,47,9,3/1/2020,4
190,40,10,3/1/2020,5
191,42,3,3/2/2020,4
192,52,6,3/2/2020,5
193,20,21,3/2/2020,5
194,40,19,3/2/2020,5
195,47,12,3/2/2020,5
196,40,21,3/2/2020,5
197,40,24,3/3/2020,5
198,66,6,3/3/2020,5
199,40,19,3/3/2020,5
200,57,7,3/4/2020,4
201,46,16,3/4/2020,5
202,49,13,3/4/2020,5
203,40,29,3/5/2020,5
204,40,15,3/5/2020,5
205,45,21,3/6/2020,5
206,26,23,3/6/2020,5
207,34,30,3/6/2020,5
208,44,23,3/7/2020,5
209,49,12,3/7/2020,5
210,40,15,3/7/2020,5
211,54,25,3/7/2020,5
212,50,15,3/8/2020,5
213,45,29,3/8/2020,5
214,40,20,3/9/2020,4
215,34,28,3/9/2020,4
216,71,26,3/10/2020,5
217,35,29,3/10/2020,5
