ID,ShipmentID,MealKitID
1,13,27
2,13,19
3,2,11
4,2,14
5,1,27
6,1,9
7,3,18
8,3,24
9,3,10
10,4,25
11,4,2
12,5,3
13,6,14
14,6,8
15,6,28
16,7,7
17,7,8
18,16,27
19,16,12
20,16,2
21,8,25
22,8,9
23,8,10
24,8,29
25,19,10
26,19,2
27,14,15
28,14,22
29,14,3
30,9,29
31,10,6
32,10,13
33,10,3
34,10,29
35,11,6
36,11,14
37,11,24
38,12,3
39,12,17
40,12,15
41,12,5
42,12,3
43,15,27
44,15,25
45,15,18
46,17,7
47,17,28
48,17,1
49,18,15
50,29,25
51,29,14
52,37,11
53,37,24
54,20,7
55,20,17
56,20,16
57,21,24
58,21,15
59,30,23
60,30,3
61,22,9
62,22,21
63,22,23
64,23,10
65,24,10
66,24,9
67,24,8
68,38,29
69,38,12
70,38,1
71,31,24
72,31,18
73,31,28
74,34,16
75,34,28
76,32,11
77,32,25
78,32,3
79,32,8
80,25,5
81,25,12
82,25,18
83,26,17
84,27,30
85,27,22
86,27,27
87,35,6
88,35,2
89,28,11
90,28,12
91,28,23
92,28,26
93,28,30
94,36,2
95,36,5
96,36,5
97,36,22
98,33,9
99,39,19
100,39,7
101,57,18
102,57,25
103,52,9
104,48,7
105,48,1
106,48,1
107,40,18
108,40,8
109,40,29
110,41,12
111,41,2
112,41,19
113,41,25
114,53,2
115,53,13
116,53,9
117,53,24
118,53,9
119,42,11
120,43,5
121,43,10
122,54,1
123,54,9
124,49,23
125,49,30
126,44,22
127,44,5
128,44,26
129,50,2
130,50,12
131,50,29
132,51,17
133,55,29
134,55,8
135,56,14
136,56,10
137,56,2
138,56,21
139,45,6
140,45,11
141,45,5
142,46,25
143,46,29
144,46,4
145,47,24
146,47,5
147,47,26
148,59,15
149,59,26
150,59,24
151,71,30
152,71,10
153,71,23
154,74,10
155,60,20
156,60,22
157,61,30
158,61,14
159,61,25
160,62,1
161,62,23
162,62,1
163,75,19
164,75,18
165,75,2
166,75,21
167,75,15
168,63,18
169,64,28
170,72,24
171,72,2
172,72,27
173,65,14
174,65,8
175,65,23
176,66,6
177,66,27
178,58,2
179,58,19
180,58,6
181,58,5
182,67,1
183,67,27
184,68,3
185,68,16
186,73,27
187,73,30
188,73,10
189,73,2
190,69,3
191,69,27
192,76,11
193,76,25
194,76,2
195,70,29
196,70,10
197,89,10
198,89,19
199,92,28
200,94,7
201,94,13
202,94,29
203,78,21
204,78,28
205,79,17
206,79,10
207,79,4
208,93,14
209,93,16
210,93,7
211,95,14
212,95,20
213,95,17
214,95,4
215,95,27
216,80,19
217,77,28
218,77,11
219,77,4
220,81,12
221,81,7
222,81,10
223,81,20
224,90,27
225,90,23
226,90,17
227,82,19
228,82,1
229,83,2
230,83,14
231,83,3
232,83,30
